keys,fr,en,es,it,pt,zh,ja
DIFFICULTY_LEGENDARY,Legendaire,Legendary,Legendario,Leggendario,Legendario,传奇,伝説
MONTH_JANUARY,Janvier,January,Enero,Gennaio,Janeiro,一月,1月
MONTH_FEBRUARY,Fevrier,February,Febrero,Febbraio,Fevereiro,二月,2月
MONTH_MARCH,Mars,March,Marzo,Marzo,Marco,三月,3月
MONTH_APRIL,Avril,April,Abril,Aprile,Abril,四月,4月
MONTH_MAY,Mai,May,Mayo,Maggio,Maio,五月,5月
MONTH_JUNE,Juin,June,Junio,Giugno,Junho,六月,6月
MONTH_JULY,Juillet,July,Julio,Luglio,Julho,七月,7月
MONTH_AUGUST,Aout,August,Agosto,Agosto,Agosto,八月,8月
MONTH_SEPTEMBER,Septembre,September,Septiembre,Settembre,Setembro,九月,9月
MONTH_OCTOBER,Octobre,October,Octubre,Ottobre,Outubro,十月,10月
MONTH_NOVEMBER,Novembre,November,Noviembre,Novembre,Novembro,十一月,11月
MONTH_DECEMBER,Decembre,December,Diciembre,Dicembre,Dezembro,十二月,12月
SEASON_SPRING,Printemps,Spring,Primavera,Primavera,Primavera,春天,春
SEASON_SUMMER,Ete,Summer,Verano,Estate,Verao,夏天,夏
SEASON_AUTUMN,Automne,Autumn,Otono,Autunno,Outono,秋天,秋
SEASON_WINTER,Hiver,Winter,Invierno,Inverno,Inverno,冬天,冬
MOON_NEW,Nouvelle Lune,New Moon,Luna Nueva,Luna Nuova,Lua Nova,新月,新月
MOON_WAXING_CRESCENT,Premier Croissant,Waxing Crescent,Cuarto Creciente,Primo Quarto Crescente,Quarto Crescente,上弦月,三日月
MOON_FIRST_QUARTER,Premier Quartier,First Quarter,Primer Cuarto,Primo Quarto,Primeiro Quarto,上弦,上弦
MOON_WAXING_GIBBOUS,Lune Gibbeuse,Waxing Gibbous,Luna Gibosa Creciente,Gibbosa Crescente,Lua Gibosa Crescente,凸月,十三夜
MOON_FULL,Pleine Lune,Full Moon,Luna Llena,Luna Piena,Lua Cheia,满月,満月
MOON_WANING_GIBBOUS,Lune Decroissante,Waning Gibbous,Luna Gibosa Menguante,Gibbosa Calante,Lua Gibosa Minguante,亏凸月,十八夜
MOON_LAST_QUARTER,Dernier Quartier,Last Quarter,Ultimo Cuarto,Ultimo Quarto,Ultimo Quarto,下弦,下弦
MOON_WANING_CRESCENT,Dernier Croissant,Waning Crescent,Cuarto Menguante,Ultimo Quarto Calante,Quarto Minguante,残月,二十六夜
BIOME_BROCELIANDE,Foret de Broceliande,Broceliande Forest,Bosque de Broceliande,Foresta di Broceliande,Floresta de Broceliande,布罗塞利昂德森林,ブロセリアンドの森
BIOME_BROCELIANDE_SUB,Mystere et magie ancestrale,Mystery and ancestral magic,Misterio y magia ancestral,Mistero e magia ancestrale,Misterio e magia ancestral,神秘与古老魔法,神秘と古代の魔法
BIOME_LANDES,Landes de Bruyere,Heather Moors,Paramos de Brezo,Lande di Erica,Charnecas de Urze,石楠荒原,ヒースの荒野
BIOME_LANDES_SUB,Solitude et endurance,Solitude and endurance,Soledad y resistencia,Solitudine e resistenza,Solidao e resistencia,孤独与坚韧,孤独と忍耐
BIOME_COTES,Cotes Sauvages,Wild Coasts,Costas Salvajes,Coste Selvagge,Costas Selvagens,狂野海岸,荒々しい海岸
BIOME_COTES_SUB,L'ocean murmurant,The murmuring ocean,El oceano murmurante,L'oceano mormorante,O oceano murmurant,低语的海洋,ささやく海
BIOME_VILLAGES,Villages Celtes,Celtic Villages,Aldeas Celtas,Villaggi Celtici,Aldeias Celtas,凯尔特村庄,ケルトの村々
BIOME_VILLAGES_SUB,Flammes obstinees de l'humanite,Stubborn flames of humanity,Llamas obstinadas de la humanidad,Fiamme ostinate dell'umanita,Chamas obstinadas da humanidade,人类顽强的火焰,人類の頑強な炎
BIOME_CERCLES,Cercles de Pierres,Stone Circles,Circulos de Piedras,Cerchi di Pietre,Circulos de Pedras,石圈,ストーンサークル
BIOME_CERCLES_SUB,Ou le temps hesite,Where time hesitates,Donde el tiempo duda,Dove il tempo esita,Onde o tempo hesita,时间犹豫之处,時が躊躇う場所
BIOME_MARAIS,Marais des Korrigans,Korrigan Marshes,Pantanos de Korrigans,Paludi dei Korrigan,Pantanos dos Korrigans,克里根沼泽,コリガンの沼
BIOME_MARAIS_SUB,Deception et feux follets,Deception and will-o'-wisps,Engano y fuegos fatuos,Inganno e fuochi fatui,Engano e fogos-fatuos,欺骗与鬼火,欺瞞と鬼火
BIOME_COLLINES,Collines aux Dolmens,Dolmen Hills,Colinas de Dolmenes,Colline dei Dolmen,Colinas dos Dolmens,支石墓丘陵,ドルメンの丘
BIOME_COLLINES_SUB,Les os de la terre,The bones of the earth,Los huesos de la tierra,Le ossa della terra,Os ossos da terra,大地之骨,大地の骨
BIOME_ILES,Iles Mystiques,Mystical Islands,Islas Misticas,Isole Mistiche,Ilhas Misticas,神秘岛屿,神秘の島々
BIOME_ILES_SUB,Au-dela des brumes,Beyond the mists,Mas alla de las brumas,Oltre le brume,Alem das brumas,雾之彼方,霧の彼方
FALLBACK_CAUTIOUS,Avancer prudemment,Advance carefully,Avanzar con cautela,Avanzare con cautela,Avancar com cautela,小心前进,慎重に進む
FALLBACK_OBSERVE,Observer en silence,Observe silently,Observar en silencio,Osservare in silenzio,Observar em silencio,静静观察,静かに観察する
FALLBACK_ACT,Agir sans hesiter,Act without hesitation,Actuar sin dudar,Agire senza esitare,Agir sem hesitar,毫不犹豫地行动,迷わず行動する
SAVE_EMPTY,"Chronique %d - vide","Chronicle %d - Empty","Cronica %d - vacia","Cronaca %d - vuota","Cronica %d - vazia",编年史 %d - 空,クロニクル %d - 空
SAVE_FILLED,"Chronique %d - %d cartes%s","Chronicle %d - %d cards%s","Cronica %d - %d cartas%s","Cronaca %d - %d carte%s","Cronica %d - %d cartas%s",编年史 %d - %d 张卡牌%s,クロニクル %d - %d 枚のカード%s
FPS_UNLIMITED,Illimite,Unlimited,Ilimitado,Illimitato,Ilimitado,无限制,無制限
BALANCE,Equilibre,Balance,Equilibrio,Equilibrio,Equilibrio,平衡,バランス
